Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
18-24,Female,Other,"20,000–50,000",Tier 3/Rural,Occasionally,"Gin,Cocktails,Whiskey",Likely,Online,Social gatherings,"Pineapple,Litchi",Can,Pack of 12,Neutral,"Flavour variety,Price,Brand,Packaging,Social cause",Extremely,Yes,₹200–₹300,Unlikely,High price,Yes,Maybe,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 1,Never,Other,Likely,Restaurant,Social gatherings,"Orange,Mango,Pineapple",No preference,Pack of 12,Slightly interested,"Flavour variety,Price,Brand,Social cause,Packaging",Extremely,No,₹100–₹200,Very likely,High price,No,No,Occasionally,Yes,Bar
18-24,Male,Entrepreneur,"20,000–50,000",Tier 2,Occasionally,"Rum,Cocktails",Very likely,Online,At home,"Berry,Pineapple,Orange",Glass bottle,Pack of 2,Very interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Doesn’t matter,>₹300,Likely,"Lack of availability,Health concerns,Poor packaging",No,No,Occasionally,No,Retail shop
45-54,Female,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,"Cocktails,Beer,Gin",Very likely,Restaurant,Social gatherings,"Mint,Berry,Classic",Glass bottle,Pack of 12,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Moderately,Yes,₹200–₹300,Likely,"High price,Poor packaging,Limited flavour options",Maybe,Yes,Often,Yes,Retail shop
45-54,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Vodka,Cocktails,Beer",Likely,Bar,At home,Pineapple,Glass bottle,Pack of 12,Very interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Yes,₹200–₹300,Neutral,"High price,Lack of availability,Poor packaging",No,Yes,Often,Yes,Retail shop
18-24,Male,Entrepreneur,"50,000–1,00,000",Metro,Occasionally,"Beer,Whiskey,Gin",Unlikely,Retail shop,Social gatherings,"Pineapple,Mango,Orange",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Yes,₹200–₹300,Very likely,"High price,Health concerns",Maybe,Yes,Occasionally,No,Other
18-24,Male,Working Professional,"20,000–50,000",Tier 1,Rarely,Whiskey,Unlikely,Bar,Restaurants,Guava,Can,Pack of 2,Slightly interested,"Brand,Flavour variety,Price,Packaging,Social cause",Extremely,Yes,₹200–₹300,Neutral,"Other,High price",Yes,No,Often,Yes,Online
18-24,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Frequently,"Vodka,Beer,Whiskey",Likely,Retail shop,Social gatherings,"Mango,Lime",Can,Pack of 2,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Not at all,Doesn’t matter,₹100–₹200,Likely,"Not enough information/branding,Limited flavour options",No,Maybe,Occasionally,No,Online
18-24,Female,Working Professional,"<20,000",Tier 2,Rarely,"Rum,Vodka",Very likely,Online,At home,Orange,Can,Pack of 6,Very interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,Yes,<₹100,Likely,Health concerns,No,Yes,Occasionally,Yes,Retail shop
45-54,Male,Working Professional,"50,000–1,00,000",Tier 2,Frequently,Beer,Unlikely,Retail shop,Bars/Pubs,"Pineapple,Berry,Guava",Can,Pack of 6,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Likely,"Not enough information/branding,Limited flavour options,Health concerns",Maybe,No,Often,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Beer,Rum",Likely,Online,Restaurants,Berry,Can,Pack of 6,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Neutral,Limited flavour options,Maybe,No,Often,Yes,Retail shop
25-34,Male,Student,"20,000–50,000",Metro,Rarely,"Vodka,Beer,Cocktails",Neutral,Retail shop,Bars/Pubs,"Coffee,Mango,Pineapple",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Yes,₹100–₹200,Likely,Lack of availability,Yes,Yes,Often,No,Restaurant
25-34,Male,Student,"20,000–50,000",Tier 2,Occasionally,Beer,Likely,Retail shop,Social gatherings,"Litchi,Mint,Guava",No preference,Pack of 24,Neutral,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,No,₹100–₹200,Neutral,"Limited flavour options,Poor packaging,Not enough information/branding",No,Maybe,Never,No,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 2,Frequently,Vodka,Neutral,Bar,Outdoors,"Pineapple,Lime",Glass bottle,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,Doesn’t matter,<₹100,Unlikely,"High price,Lack of availability",Yes,Yes,Always,No,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Whiskey,Vodka",Neutral,Retail shop,Social gatherings,"Pineapple,Mint",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Doesn’t matter,<₹100,Very likely,Lack of availability,Yes,Yes,Occasionally,No,Bar
25-34,Male,Working Professional,"20,000–50,000",Metro,Never,"Vodka,Cocktails",Unlikely,Pub,Social gatherings,"Mint,Litchi",No preference,Pack of 2,Very interested,"Flavour variety,Brand,Price,Social cause,Packaging",Slightly,Yes,₹100–₹200,Likely,"Limited flavour options,Poor packaging,Health concerns",Yes,Yes,Never,Yes,Online
35-44,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Cocktails,Gin",Likely,Other,At home,"Classic,Berry,Mint",Can,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Extremely,Yes,>₹300,Neutral,"Limited flavour options,Poor packaging,High price",No,Maybe,Often,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Metro,Occasionally,Beer,Neutral,Online,Social gatherings,Guava,Can,Pack of 2,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,Yes,<₹100,Neutral,Lack of availability,Yes,No,Often,No,Restaurant
25-34,Female,Working Professional,"<20,000",Tier 1,Frequently,Whiskey,Very likely,Restaurant,At home,"Orange,Pineapple,Berry",Can,Pack of 6,Not interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Unlikely,Poor packaging,Yes,No,Always,No,Restaurant
35-44,Female,Working Professional,"50,000–1,00,000",Tier 2,Rarely,"Rum,Cocktails,Whiskey",Likely,Retail shop,Bars/Pubs,Pineapple,No preference,Pack of 6,Not interested,"Price,Brand,Flavour variety,Packaging,Social cause",Not at all,Yes,>₹300,Very likely,"Health concerns,Lack of availability",Yes,Yes,Often,No,Bar
35-44,Male,Working Professional,"20,000–50,000",Metro,Frequently,"Gin,Rum",Neutral,Online,Outdoors,"Lime,Orange,Classic",Glass bottle,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,"Health concerns,Poor packaging",Yes,Yes,Occasionally,Yes,Other
25-34,Male,Working Professional,"<20,000",Tier 3/Rural,Rarely,"Beer,Gin",Unlikely,Bar,Social gatherings,"Berry,Mango,Litchi",Glass bottle,Pack of 2,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,Doesn’t matter,₹100–₹200,Very likely,"High price,Health concerns",Maybe,Yes,Often,No,Bar
25-34,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Gin,Beer",Neutral,Bar,At home,"Mango,Classic",No preference,Pack of 2,Neutral,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,₹100–₹200,Likely,High price,No,No,Often,No,Retail shop
25-34,Female,Student,"20,000–50,000",Tier 2,Occasionally,"Gin,Rum,Vodka",Neutral,Other,Social gatherings,Guava,Glass bottle,Pack of 12,Very interested,"Price,Brand,Flavour variety,Packaging,Social cause",Extremely,Doesn’t matter,₹100–₹200,Neutral,"Lack of availability,High price",Maybe,Yes,Never,Yes,Retail shop
35-44,Male,Homemaker,"20,000–50,000",Tier 2,Rarely,"Beer,Vodka",Likely,Online,Restaurants,Lime,Glass bottle,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,₹200–₹300,Neutral,"Limited flavour options,High price",Yes,Yes,Often,No,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Beer,Whiskey,Cocktails",Neutral,Bar,Social gatherings,"Guava,Mint,Classic",Glass bottle,Pack of 12,Slightly interested,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,Yes,₹100–₹200,Likely,"High price,Limited flavour options,Lack of availability",No,Yes,Often,Yes,Retail shop
35-44,Male,Entrepreneur,"<20,000",Metro,Rarely,"Rum,Whiskey",Neutral,Restaurant,At home,"Classic,Pineapple,Mint",Can,Pack of 6,Not interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Likely,"Not enough information/branding,Limited flavour options,High price",Yes,No,Always,Yes,Bar
25-34,Male,Other,"50,000–1,00,000",Metro,Frequently,"Whiskey,Vodka",Likely,Retail shop,At home,Classic,Glass bottle,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,<₹100,Likely,Health concerns,Yes,Maybe,Occasionally,Yes,Retail shop
35-44,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Whiskey,Beer",Neutral,Pub,Bars/Pubs,"Coffee,Guava,Mango",Glass bottle,Pack of 6,Neutral,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,No,>₹300,Likely,High price,Yes,Yes,Often,Yes,Restaurant
45-54,Female,Working Professional,">1,00,000",Metro,Rarely,Cocktails,Likely,Duty-free,At home,Berry,Glass bottle,Pack of 6,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,No,>₹300,Likely,"Limited flavour options,Not enough information/branding",No,Yes,Never,Yes,Retail shop
25-34,Female,Working Professional,"50,000–1,00,000",Tier 1,Never,Whiskey,Unlikely,Retail shop,Social gatherings,Mango,Glass bottle,Pack of 12,Slightly interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Doesn’t matter,₹100–₹200,Likely,"Limited flavour options,Lack of availability",Yes,Yes,Often,Yes,Online
25-34,Male,Student,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Vodka,Whiskey",Very likely,Duty-free,Outdoors,"Coffee,Guava",No preference,Pack of 12,Very interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Very likely,Health concerns,Yes,Yes,Often,Yes,Online
25-34,Male,Working Professional,"<20,000",Tier 1,Frequently,Beer,Likely,Pub,Bars/Pubs,"Classic,Litchi",No preference,Pack of 6,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Not at all,No,₹200–₹300,Likely,"Limited flavour options,Other,Not enough information/branding",Maybe,Yes,Often,No,Retail shop
25-34,Female,Homemaker,"20,000–50,000",Metro,Occasionally,"Cocktails,Vodka",Likely,Online,At home,Classic,Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Extremely,Doesn’t matter,₹200–₹300,Very unlikely,Not enough information/branding,Yes,Yes,Occasionally,No,Other
18-24,Male,Student,"20,000–50,000",Tier 2,Frequently,"Whiskey,Beer",Likely,Retail shop,Restaurants,"Guava,Orange,Classic",Glass bottle,Pack of 12,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Extremely,Doesn’t matter,₹200–₹300,Neutral,"Not enough information/branding,Poor packaging,High price",Yes,Yes,Occasionally,Yes,Other
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Rarely,Whiskey,Neutral,Retail shop,Social gatherings,"Guava,Coffee,Litchi",Can,Pack of 12,Very interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Yes,>₹300,Likely,"Limited flavour options,Poor packaging,Not enough information/branding",Yes,Yes,Always,Yes,Retail shop
45-54,Female,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,"Rum,Whiskey,Cocktails",Likely,Online,Bars/Pubs,"Berry,Mango",Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Moderately,Yes,₹200–₹300,Unlikely,Health concerns,Maybe,Yes,Often,No,Online
18-24,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Never,"Beer,Gin",Neutral,Restaurant,Social gatherings,"Mango,Berry,Litchi",Can,Pack of 12,Slightly interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Neutral,High price,Yes,Maybe,Occasionally,No,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Beer,Whiskey",Unlikely,Online,Social gatherings,Orange,Glass bottle,Pack of 6,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,No,<₹100,Unlikely,"High price,Not enough information/branding",Maybe,Yes,Occasionally,Yes,Restaurant
35-44,Female,Working Professional,"20,000–50,000",Tier 2,Never,Whiskey,Unlikely,Retail shop,Restaurants,"Pineapple,Mango",Glass bottle,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Extremely,Doesn’t matter,₹100–₹200,Very likely,"Poor packaging,Health concerns,High price",Yes,Maybe,Always,No,Online
25-34,Male,Student,"<20,000",Tier 2,Rarely,"Whiskey,Vodka",Likely,Retail shop,Social gatherings,"Pineapple,Orange,Coffee",Glass bottle,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Neutral,"Not enough information/branding,High price",Maybe,Yes,Often,Yes,Bar
55+,Male,Student,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Rum,Gin",Likely,Online,At home,"Guava,Lime,Mango",No preference,Pack of 6,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Extremely,No,>₹300,Very likely,"High price,Lack of availability",Yes,No,Always,Yes,Restaurant
18-24,Female,Student,"20,000–50,000",Metro,Rarely,"Rum,Beer",Neutral,Restaurant,Social gatherings,Berry,Glass bottle,Pack of 6,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Yes,₹200–₹300,Very unlikely,"Limited flavour options,High price",Maybe,Maybe,Always,No,Bar
45-54,Male,Entrepreneur,"20,000–50,000",Tier 1,Never,Beer,Neutral,Online,Restaurants,"Guava,Pineapple",No preference,Pack of 2,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Very likely,Other,Yes,Maybe,Occasionally,Yes,Retail shop
18-24,Male,Entrepreneur,"50,000–1,00,000",Tier 3/Rural,Rarely,"Beer,Whiskey,Vodka",Unlikely,Pub,At home,"Classic,Litchi",Glass bottle,Pack of 12,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Yes,<₹100,Likely,"High price,Not enough information/branding,Poor packaging",No,Yes,Often,Yes,Retail shop
18-24,Male,Working Professional,"<20,000",Tier 2,Occasionally,"Cocktails,Beer",Neutral,Retail shop,Bars/Pubs,Guava,Can,Pack of 12,Not interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,No,>₹300,Very likely,"Limited flavour options,Not enough information/branding",Yes,Yes,Often,Yes,Retail shop
35-44,Male,Entrepreneur,">1,00,000",Metro,Frequently,Whiskey,Unlikely,Bar,Social gatherings,Berry,Glass bottle,Pack of 12,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Slightly,Yes,₹100–₹200,Unlikely,"Health concerns,Lack of availability",No,Yes,Often,Yes,Online
25-34,Female,Working Professional,"<20,000",Metro,Frequently,"Beer,Rum,Vodka",Likely,Pub,Bars/Pubs,"Lime,Pineapple",Can,Pack of 2,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Yes,₹200–₹300,Very unlikely,"High price,Not enough information/branding,Lack of availability",Yes,No,Occasionally,No,Retail shop
35-44,Female,Homemaker,"<20,000",Tier 1,Occasionally,Beer,Neutral,Duty-free,Social gatherings,"Classic,Mango",Can,Pack of 6,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Slightly,No,₹100–₹200,Likely,"Limited flavour options,Lack of availability",Yes,Maybe,Occasionally,No,Online
18-24,Male,Student,">1,00,000",Tier 1,Frequently,"Rum,Beer,Vodka",Neutral,Pub,At home,"Classic,Pineapple",Can,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Slightly,No,₹200–₹300,Neutral,Other,Yes,Yes,Occasionally,Yes,Restaurant
45-54,Female,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,"Rum,Beer",Very likely,Pub,Restaurants,Litchi,Glass bottle,Pack of 2,Very interested,"Brand,Flavour variety,Price,Packaging,Social cause",Not at all,Yes,₹100–₹200,Very unlikely,High price,Yes,Yes,Occasionally,No,Retail shop
35-44,Male,Working Professional,"<20,000",Metro,Frequently,"Vodka,Cocktails,Whiskey",Neutral,Retail shop,Bars/Pubs,"Berry,Classic,Mango",Can,Pack of 6,Slightly interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,Doesn’t matter,>₹300,Very likely,Limited flavour options,Maybe,Yes,Often,No,Bar
18-24,Male,Student,"<20,000",Tier 2,Occasionally,"Beer,Cocktails,Vodka",Likely,Restaurant,Bars/Pubs,"Orange,Lime,Mango",No preference,Pack of 6,Neutral,"Price,Brand,Flavour variety,Social cause,Packaging",Not at all,Doesn’t matter,₹100–₹200,Likely,High price,Maybe,Maybe,Often,Yes,Restaurant
18-24,Female,Student,"20,000–50,000",Tier 1,Rarely,"Vodka,Beer",Likely,Duty-free,At home,"Berry,Orange",Glass bottle,Pack of 6,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Slightly,Doesn’t matter,₹200–₹300,Neutral,"Health concerns,Lack of availability,High price",Maybe,Maybe,Often,Yes,Bar
35-44,Female,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Whiskey,Gin,Cocktails",Neutral,Duty-free,Social gatherings,Pineapple,Can,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Yes,<₹100,Very likely,Poor packaging,Maybe,Yes,Often,No,Retail shop
35-44,Female,Working Professional,"50,000–1,00,000",Metro,Rarely,Vodka,Unlikely,Retail shop,At home,Litchi,Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Not at all,Doesn’t matter,₹200–₹300,Neutral,"Not enough information/branding,Poor packaging",No,Yes,Occasionally,Yes,Restaurant
25-34,Female,Working Professional,"<20,000",Tier 2,Occasionally,Whiskey,Likely,Retail shop,Restaurants,Berry,Can,Pack of 6,Slightly interested,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,Yes,₹100–₹200,Very likely,"Limited flavour options,Poor packaging,Not enough information/branding",Maybe,Maybe,Occasionally,No,Bar
18-24,Male,Student,"50,000–1,00,000",Tier 1,Occasionally,Beer,Neutral,Other,Restaurants,"Classic,Litchi,Guava",Can,Pack of 6,Slightly interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Very unlikely,Other,Maybe,Yes,Often,No,Online
18-24,Female,Homemaker,"50,000–1,00,000",Tier 1,Occasionally,Whiskey,Likely,Retail shop,At home,"Guava,Lime,Orange",No preference,Pack of 6,Not interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Neutral,"Health concerns,Limited flavour options",Maybe,No,Often,Yes,Other
25-34,Male,Homemaker,"20,000–50,000",Metro,Occasionally,"Whiskey,Cocktails",Likely,Retail shop,Bars/Pubs,"Mint,Berry,Guava",No preference,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,₹100–₹200,Likely,"Lack of availability,High price,Health concerns",Maybe,No,Always,Yes,Online
18-24,Female,Working Professional,"50,000–1,00,000",Tier 1,Rarely,"Whiskey,Other",Very unlikely,Other,Outdoors,"Classic,Pineapple,Litchi",Glass bottle,Pack of 2,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,No,>₹300,Very likely,"Not enough information/branding,High price,Lack of availability",Maybe,Yes,Occasionally,Yes,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Rarely,"Beer,Vodka,Cocktails",Likely,Pub,Restaurants,"Guava,Litchi,Classic",No preference,Pack of 2,Not interested,"Flavour variety,Price,Brand,Social cause,Packaging",Extremely,Yes,₹100–₹200,Neutral,"Limited flavour options,Not enough information/branding,High price",Yes,Yes,Occasionally,Yes,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Never,"Gin,Beer",Very likely,Retail shop,Social gatherings,"Litchi,Coffee,Mint",No preference,Pack of 12,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Yes,₹100–₹200,Likely,"Poor packaging,Lack of availability",No,Maybe,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,Whiskey,Very likely,Pub,Bars/Pubs,"Classic,Pineapple",No preference,Pack of 2,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,Other,Maybe,No,Occasionally,Yes,Retail shop
18-24,Male,Homemaker,"20,000–50,000",Tier 2,Occasionally,"Beer,Cocktails",Very likely,Retail shop,Social gatherings,"Mint,Lime",Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Not at all,Yes,<₹100,Neutral,"Not enough information/branding,Lack of availability,Health concerns",Yes,Maybe,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"<20,000",Metro,Never,"Whiskey,Cocktails",Neutral,Bar,Bars/Pubs,"Classic,Guava",Glass bottle,Pack of 24,Slightly interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,No,>₹300,Likely,"High price,Lack of availability,Limited flavour options",No,Maybe,Often,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Metro,Rarely,Whiskey,Neutral,Pub,At home,"Berry,Guava",No preference,Pack of 6,Not interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Likely,"High price,Health concerns,Lack of availability",Maybe,Yes,Occasionally,No,Bar
35-44,Male,Working Professional,">1,00,000",Tier 1,Rarely,Beer,Very likely,Pub,Bars/Pubs,"Orange,Coffee",Can,Pack of 6,Not interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,"Other,High price",No,Maybe,Often,Yes,Retail shop
35-44,Female,Entrepreneur,"20,000–50,000",Tier 2,Rarely,"Vodka,Beer",Neutral,Bar,At home,Coffee,Glass bottle,Pack of 2,Slightly interested,"Price,Flavour variety,Brand,Social cause,Packaging",Slightly,Doesn’t matter,₹100–₹200,Neutral,Not enough information/branding,Yes,Maybe,Often,Yes,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Whiskey,Beer",Likely,Other,Social gatherings,"Guava,Mango",Glass bottle,Pack of 6,Very interested,"Price,Brand,Flavour variety,Packaging,Social cause",Slightly,No,₹100–₹200,Likely,Not enough information/branding,Maybe,Yes,Occasionally,No,Retail shop
35-44,Female,Working Professional,"20,000–50,000",Metro,Frequently,"Whiskey,Vodka,Beer",Unlikely,Retail shop,At home,Guava,No preference,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,No,₹200–₹300,Likely,"Not enough information/branding,Poor packaging,Other",No,Yes,Occasionally,Yes,Online
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Beer,Vodka,Whiskey",Neutral,Retail shop,At home,"Litchi,Mango,Guava",Glass bottle,Pack of 2,Not interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,No,>₹300,Very unlikely,"High price,Health concerns",No,Maybe,Always,Yes,Other
55+,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Whiskey,Vodka",Likely,Retail shop,At home,"Berry,Mint,Pineapple",Can,Pack of 6,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,Yes,₹200–₹300,Very likely,"High price,Lack of availability,Not enough information/branding",Yes,Yes,Often,Yes,Bar
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Gin,Beer",Neutral,Restaurant,Social gatherings,Pineapple,No preference,Pack of 12,Very interested,"Brand,Flavour variety,Price,Social cause,Packaging",Not at all,Doesn’t matter,₹100–₹200,Neutral,"Limited flavour options,Lack of availability",No,Yes,Occasionally,Yes,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Beer,Cocktails,Whiskey",Neutral,Online,At home,"Coffee,Guava,Berry",Can,Pack of 24,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,Yes,₹200–₹300,Likely,Poor packaging,Yes,Maybe,Often,Yes,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Cocktails,Beer",Likely,Retail shop,At home,"Mint,Berry,Mango",Can,Pack of 6,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,No,₹100–₹200,Likely,"Health concerns,High price",Maybe,Yes,Occasionally,No,Retail shop
18-24,Male,Homemaker,"50,000–1,00,000",Tier 3/Rural,Rarely,"Whiskey,Other,Beer",Likely,Retail shop,At home,Coffee,No preference,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Slightly,Yes,>₹300,Very likely,Poor packaging,Yes,Yes,Often,Yes,Online
55+,Female,Working Professional,">1,00,000",Metro,Frequently,"Rum,Gin",Neutral,Retail shop,Bars/Pubs,Berry,Can,Pack of 2,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,Yes,₹200–₹300,Likely,"Health concerns,Not enough information/branding",Yes,Yes,Often,No,Retail shop
18-24,Female,Student,"50,000–1,00,000",Metro,Occasionally,"Rum,Cocktails,Beer",Unlikely,Retail shop,At home,Berry,Can,Pack of 2,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Yes,₹100–₹200,Neutral,"High price,Other,Limited flavour options",Yes,Yes,Occasionally,Yes,Retail shop
18-24,Female,Working Professional,"<20,000",Tier 3/Rural,Occasionally,"Vodka,Cocktails,Whiskey",Likely,Duty-free,At home,Coffee,Glass bottle,Pack of 6,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Slightly,No,₹200–₹300,Neutral,Other,Yes,Yes,Occasionally,Yes,Online
18-24,Male,Working Professional,"<20,000",Tier 2,Occasionally,Vodka,Likely,Online,Outdoors,"Guava,Lime,Mango",Glass bottle,Pack of 6,Very interested,"Price,Flavour variety,Brand,Social cause,Packaging",Slightly,Doesn’t matter,₹200–₹300,Neutral,"Not enough information/branding,Lack of availability",Maybe,Maybe,Always,Yes,Retail shop
45-54,Male,Entrepreneur,"20,000–50,000",Tier 1,Frequently,"Whiskey,Rum",Neutral,Duty-free,Social gatherings,"Lime,Mango,Pineapple",No preference,Pack of 12,Not interested,"Price,Flavour variety,Brand,Packaging,Social cause",Not at all,Doesn’t matter,₹200–₹300,Very likely,"High price,Limited flavour options,Lack of availability",Maybe,No,Often,No,Retail shop
